which,imputer,model,r2_mean,r2_std,rmse_mean,rmse_std,pearson_r,spearman_r
Proteomics-only,median,XGB,-0.012744927406311035,0.029031318317667993,0.1762986322365589,0.006314095136947187,0.09102612579282336,0.12564170067131764
Combined,median,XGB,-0.048718714714050294,0.021603961839616565,0.1793989038760011,0.005778362932070901,-0.05138742889968026,-0.03583837711509756
RNA-only,median,XGB,-0.06700191497802735,0.026348567397221963,0.180951999934108,0.005981304678819159,-0.13940824528873394,-0.1314955506269853
