which,imputer,model,r2_mean,r2_std,rmse_mean,rmse_std,pearson_r,spearman_r
Combined,median,XGB,-0.02978959083557129,0.04306463451713765,0.1777882894201875,0.0077366685160652334,-0.12516903365213053,-0.0799656115063917
Proteomics-only,median,XGB,-0.03184478282928467,0.03288593090234872,0.17791142515248212,0.0053383213070528615,0.09698889104817902,0.12438127264734589
RNA-only,median,XGB,-0.09801220893859863,0.0688889286895808,0.18345728573225123,0.007123709503085425,-0.022030626899768282,-0.002836273504188595
