which,imputer,model,r2_mean,r2_std,rmse_mean,rmse_std,pearson_r,spearman_r
Proteomics-only,knn,XGB,-0.021166682243347168,0.024674434219171672,0.1769796064544212,0.004235069132151976,0.1206093392003088,0.15495938068900084
Combined,knn,XGB,-0.029912614822387697,0.042747981080481924,0.17779958776542026,0.007725428121495805,-0.11956802692714981,-0.06381812242354953
RNA-only,knn,XGB,-0.09801220893859863,0.0688889286895808,0.18345728573225123,0.007123709503085425,-0.022030626899768282,-0.002836273504188595
