,dtype,n_values,n_nan_total,n_non_numeric_values,n_posinf,n_neginf
GRHL3,float64,248,239,0,0,0
CCDC34,float64,248,239,0,0,0
ERMAP,float64,248,239,0,0,0
SIGLEC11,float64,248,239,0,0,0
RBFOX1,float64,248,239,0,0,0
CYTH4,float64,248,239,0,0,0
LRFN2,float64,248,239,0,0,0
APOBEC2,float64,248,239,0,0,0
BTBD3,float64,248,239,0,0,0
MROH6,float64,248,238,0,0,0
ZNF236,float64,248,238,0,0,0
MUSK,float64,248,238,0,0,0
SPINK4,float64,248,238,0,0,0
IGHV3-7,float64,248,238,0,0,0
ALPI,float64,248,238,0,0,0
EGR2,float64,248,238,0,0,0
IDO1,float64,248,238,0,0,0
MYOD1,float64,248,238,0,0,0
MYOG,float64,248,238,0,0,0
ENDOU,float64,248,238,0,0,0
FPR3,float64,248,238,0,0,0
RNASE4,float64,248,238,0,0,0
ASPA,float64,248,238,0,0,0
YPEL3,float64,248,238,0,0,0
TNFRSF17,float64,248,238,0,0,0
INPP5J,float64,248,238,0,0,0
NEUROD2,float64,248,238,0,0,0
CALCRL,float64,248,238,0,0,0
ATP2B3,float64,248,238,0,0,0
MEP1B,float64,248,238,0,0,0
DUSP7,float64,248,238,0,0,0
ADGRD1,float64,248,238,0,0,0
CXCL17,float64,248,238,0,0,0
B3GNT6,float64,248,238,0,0,0
RNF144B,float64,248,238,0,0,0
SFTPA1,float64,248,238,0,0,0
SLC15A3,float64,248,238,0,0,0
FIBCD1,float64,248,238,0,0,0
MYRIP,float64,248,238,0,0,0
TMEM158,float64,248,238,0,0,0
ATOH1,float64,248,238,0,0,0
SEC16B,float64,248,238,0,0,0
SIGLEC12,float64,248,238,0,0,0
TSPAN18,float64,248,238,0,0,0
FAM83C,float64,248,238,0,0,0
KRTAP4-4,float64,248,238,0,0,0
CSRNP2,float64,248,238,0,0,0
IL21R,float64,248,238,0,0,0
BEX1,float64,248,238,0,0,0
LGR6,float64,248,238,0,0,0
DLL4,float64,248,238,0,0,0
BARHL2,float64,248,238,0,0,0
FBLN5,float64,248,238,0,0,0
TSPYL4,float64,248,238,0,0,0
SIGLEC9,float64,248,238,0,0,0
MMP24,float64,248,238,0,0,0
TNFRSF18,float64,248,238,0,0,0
HYKK,float64,248,237,0,0,0
GOLGA8A,float64,248,237,0,0,0
ZNF850,float64,248,237,0,0,0
ISLR,float64,248,237,0,0,0
ZNF263,float64,248,237,0,0,0
ST8SIA3,float64,248,237,0,0,0
EFS,float64,248,237,0,0,0
LGR5,float64,248,237,0,0,0
CCN5,float64,248,237,0,0,0
LY6H,float64,248,237,0,0,0
CALCA,float64,248,237,0,0,0
GZMA,float64,248,237,0,0,0
LYL1,float64,248,237,0,0,0
KLK2,float64,248,237,0,0,0
CHRM3,float64,248,237,0,0,0
GPT,float64,248,237,0,0,0
CHRNA5,float64,248,237,0,0,0
GJA5,float64,248,237,0,0,0
SLC26A3,float64,248,237,0,0,0
GP2,float64,248,237,0,0,0
CTSW,float64,248,237,0,0,0
SLC35B1,float64,248,237,0,0,0
FMOD,float64,248,237,0,0,0
KCNA1,float64,248,237,0,0,0
PDE7A,float64,248,237,0,0,0
DELE1,float64,248,237,0,0,0
PCSK7,float64,248,237,0,0,0
SPHKAP,float64,248,237,0,0,0
SUSD1,float64,248,237,0,0,0
SLCO4C1,float64,248,237,0,0,0
ZNF493,float64,248,237,0,0,0
ARHGAP36,float64,248,237,0,0,0
CHST13,float64,248,237,0,0,0
OIT3,float64,248,237,0,0,0
TNFRSF14,float64,248,237,0,0,0
CD101,float64,248,237,0,0,0
PPP1R16B,float64,248,237,0,0,0
FGFBP2,float64,248,237,0,0,0
CHST5,float64,248,237,0,0,0
IL22,float64,248,237,0,0,0
NRIP3,float64,248,237,0,0,0
MYO15A,float64,248,237,0,0,0
PRND,float64,248,237,0,0,0
GNAT3,float64,248,236,0,0,0
HOXA3,float64,248,236,0,0,0
ATP10B,float64,248,236,0,0,0
RHOXF2B,float64,248,236,0,0,0
FCGR1A,float64,248,236,0,0,0
IL7R,float64,248,236,0,0,0
BPI,float64,248,236,0,0,0
MSX2,float64,248,236,0,0,0
SIK1,float64,248,236,0,0,0
PDE4B,float64,248,236,0,0,0
PLA2R1,float64,248,236,0,0,0
ANGPT1,float64,248,236,0,0,0
ZNF699,float64,248,236,0,0,0
ZNF852,float64,248,236,0,0,0
ILDR1,float64,248,236,0,0,0
GRAMD2A,float64,248,236,0,0,0
GMCL2,float64,248,236,0,0,0
ZNF675,float64,248,236,0,0,0
ZNF721,float64,248,236,0,0,0
ZNF354B,float64,248,236,0,0,0
KLF6,float64,248,236,0,0,0
SMO,float64,248,236,0,0,0
TRAIP,float64,248,236,0,0,0
PRRG4,float64,248,236,0,0,0
CRISPLD1,float64,248,236,0,0,0
STAB1,float64,248,236,0,0,0
IL17C,float64,248,236,0,0,0
TMEFF2,float64,248,236,0,0,0
PSG11,float64,248,236,0,0,0
GXYLT2,float64,248,235,0,0,0
CYSRT1,float64,248,235,0,0,0
ZNF208,float64,248,235,0,0,0
CNTN5,float64,248,235,0,0,0
SNAI1,float64,248,235,0,0,0
ADH4,float64,248,235,0,0,0
CR2,float64,248,235,0,0,0
HOXD11,float64,248,235,0,0,0
BMP8B,float64,248,235,0,0,0
ERVFC1,float64,248,235,0,0,0
ABCA4,float64,248,235,0,0,0
MYBPC2,float64,248,235,0,0,0
ZNF267,float64,248,235,0,0,0
INSL4,float64,248,235,0,0,0
SIX1,float64,248,235,0,0,0
MSMP,float64,248,235,0,0,0
PRTG,float64,248,235,0,0,0
IGSF11,float64,248,235,0,0,0
CLVS2,float64,248,235,0,0,0
LYPD5,float64,248,235,0,0,0
FBXO33,float64,248,235,0,0,0
SRL,float64,248,235,0,0,0
ZNF100,float64,248,235,0,0,0
MFSD2A,float64,248,235,0,0,0
CYP2W1,float64,248,235,0,0,0
C2CD4C,float64,248,235,0,0,0
KCTD4,float64,248,235,0,0,0
ACSBG1,float64,248,235,0,0,0
ZNF469,float64,248,235,0,0,0
FCRL3,float64,248,235,0,0,0
TMPRSS13,float64,248,235,0,0,0
CDH23,float64,248,235,0,0,0
SYT4,float64,248,235,0,0,0
RNPEPL1,float64,248,235,0,0,0
SEC14L4,float64,248,235,0,0,0
RAPGEFL1,float64,248,235,0,0,0
TUBD1,float64,248,235,0,0,0
B4DXA9,float64,248,234,0,0,0
ADAMTS4,float64,248,234,0,0,0
PITX3,float64,248,234,0,0,0
ZNF821,float64,248,234,0,0,0
FTCD,float64,248,234,0,0,0
PPP1R17,float64,248,234,0,0,0
MT1A,float64,248,234,0,0,0
SERPINA6,float64,248,234,0,0,0
HBQ1,float64,248,234,0,0,0
HLA-DOB,float64,248,234,0,0,0
ITIH1,float64,248,234,0,0,0
CA5A,float64,248,234,0,0,0
NSG1,float64,248,234,0,0,0
PCP4,float64,248,234,0,0,0
CDH15,float64,248,234,0,0,0
SOX8,float64,248,234,0,0,0
FAM3B,float64,248,234,0,0,0
ACTA1,float64,248,234,0,0,0
CYP4F8,float64,248,234,0,0,0
POU3F1,float64,248,234,0,0,0
ANKRD36C,float64,248,234,0,0,0
ZNF697,float64,248,234,0,0,0
IQCE,float64,248,234,0,0,0
DCLRE1A,float64,248,234,0,0,0
CHRDL2,float64,248,234,0,0,0
NOXA1,float64,248,234,0,0,0
ZBTB46,float64,248,234,0,0,0
FSTL5,float64,248,234,0,0,0
ASB13,float64,248,234,0,0,0
RSC1A1,float64,248,234,0,0,0
KLHL29,float64,248,234,0,0,0
ASCL2,float64,248,234,0,0,0
SLC6A17,float64,248,234,0,0,0
ZMAT4,float64,248,234,0,0,0
CALHM2,float64,248,234,0,0,0
MYOZ2,float64,248,234,0,0,0
WSB2,float64,248,234,0,0,0
NSG2,float64,248,234,0,0,0
PCDHB7,float64,248,234,0,0,0
PCDHB6,float64,248,234,0,0,0
PCP4L1,float64,248,233,0,0,0
ACKR2,float64,248,233,0,0,0
MSTN,float64,248,233,0,0,0
MEFV,float64,248,233,0,0,0
TBX1,float64,248,233,0,0,0
MPIG6B,float64,248,233,0,0,0
GYPA,float64,248,233,0,0,0
PF4,float64,248,233,0,0,0
FCER2,float64,248,233,0,0,0
PIM1,float64,248,233,0,0,0
DCC,float64,248,233,0,0,0
PDE1A,float64,248,233,0,0,0
AQP5,float64,248,233,0,0,0
FOXG1,float64,248,233,0,0,0
MTCP1,float64,248,233,0,0,0
EMX1,float64,248,233,0,0,0
PLCL1,float64,248,233,0,0,0
SLC15A2,float64,248,233,0,0,0
SYTL3,float64,248,233,0,0,0
VWA3B,float64,248,233,0,0,0
MUC21,float64,248,233,0,0,0
CELF3,float64,248,233,0,0,0
IER5,float64,248,233,0,0,0
PI16,float64,248,233,0,0,0
PASD1,float64,248,233,0,0,0
ZNF709,float64,248,233,0,0,0
ITLN1,float64,248,233,0,0,0
IGSF21,float64,248,233,0,0,0
ACCS,float64,248,233,0,0,0
ZNF251,float64,248,233,0,0,0
NAA11,float64,248,233,0,0,0
REG4,float64,248,233,0,0,0
CHRD,float64,248,233,0,0,0
LIME1,float64,248,233,0,0,0
ASB8,float64,248,233,0,0,0
IPPK,float64,248,233,0,0,0
SLC52A3,float64,248,233,0,0,0
SLC2A9,float64,248,233,0,0,0
KCNH7,float64,248,233,0,0,0
RGL1,float64,248,233,0,0,0
NLK,float64,248,233,0,0,0
MAST1,float64,248,233,0,0,0
DAPL1,float64,248,232,0,0,0
MYL11,float64,248,232,0,0,0
IRS4,float64,248,232,0,0,0
GFRA3,float64,248,232,0,0,0
HPGDS,float64,248,232,0,0,0
CXCL14,float64,248,232,0,0,0
TBX18,float64,248,232,0,0,0
EOMES,float64,248,232,0,0,0
TCL1B,float64,248,232,0,0,0
MMP9,float64,248,232,0,0,0
CXCL3,float64,248,232,0,0,0
LMO2,float64,248,232,0,0,0
SOX11,float64,248,232,0,0,0
ELK3,float64,248,232,0,0,0
ZNF84,float64,248,232,0,0,0
STX1B,float64,248,232,0,0,0
CCNA1,float64,248,232,0,0,0
MAMLD1,float64,248,232,0,0,0
CEBPE,float64,248,232,0,0,0
BCL2A1,float64,248,232,0,0,0
EXOC3L2,float64,248,232,0,0,0
DENND1B,float64,248,232,0,0,0
C16orf54,float64,248,232,0,0,0
C16orf86,float64,248,232,0,0,0
NEK8,float64,248,232,0,0,0
SGPP2,float64,248,232,0,0,0
TP53INP2,float64,248,232,0,0,0
CEP57L1,float64,248,232,0,0,0
LARGE2,float64,248,232,0,0,0
NKX2-3,float64,248,232,0,0,0
HAVCR2,float64,248,232,0,0,0
SNED1,float64,248,232,0,0,0
GIMAP1,float64,248,232,0,0,0
TBC1D32,float64,248,232,0,0,0
OLFM3,float64,248,232,0,0,0
FEZ1,float64,248,232,0,0,0
SLX1A,float64,248,232,0,0,0
BOC,float64,248,232,0,0,0
CNTNAP3,float64,248,232,0,0,0
TCEAL2,float64,248,232,0,0,0
MMRN2,float64,248,232,0,0,0
PCDH12,float64,248,232,0,0,0
SLAMF7,float64,248,232,0,0,0
ZNF70,float64,248,232,0,0,0
ATF5,float64,248,232,0,0,0
ANGPTL3,float64,248,232,0,0,0
GRID2IP,float64,248,231,0,0,0
FOXN3,float64,248,231,0,0,0
CYTIP,float64,248,231,0,0,0
ZNF354A,float64,248,231,0,0,0
BBOX1,float64,248,231,0,0,0
CPNE6,float64,248,231,0,0,0
GCG,float64,248,231,0,0,0
IGHG1,float64,248,231,0,0,0
EPX,float64,248,231,0,0,0
RNASE3,float64,248,231,0,0,0
HSD17B1,float64,248,231,0,0,0
ZNF7,float64,248,231,0,0,0
MPL,float64,248,231,0,0,0
HTR2B,float64,248,231,0,0,0
ITGA8,float64,248,231,0,0,0
HAND2,float64,248,231,0,0,0
EGR3,float64,248,231,0,0,0
CD69,float64,248,231,0,0,0
TMEM132B,float64,248,231,0,0,0
HSPB2,float64,248,231,0,0,0
MTUS2,float64,248,231,0,0,0
CARD17P,float64,248,231,0,0,0
MCTP1,float64,248,231,0,0,0
RPTN,float64,248,231,0,0,0
AGMO,float64,248,231,0,0,0
TMEM26,float64,248,231,0,0,0
KIF27,float64,248,231,0,0,0
GALNT13,float64,248,231,0,0,0
TMEFF1,float64,248,231,0,0,0
APCDD1,float64,248,231,0,0,0
CD177,float64,248,231,0,0,0
BEND7,float64,248,231,0,0,0
ZNF557,float64,248,231,0,0,0
B4GALNT2,float64,248,231,0,0,0
LMO3,float64,248,231,0,0,0
FAM151A,float64,248,231,0,0,0
SLC38A4,float64,248,231,0,0,0
ZBTB45,float64,248,231,0,0,0
MARK4,float64,248,231,0,0,0
ZSWIM3,float64,248,231,0,0,0
NKX3-1,float64,248,231,0,0,0
SOX7,float64,248,231,0,0,0
PIDD1,float64,248,231,0,0,0
ZNF624,float64,248,231,0,0,0
HSPB7,float64,248,231,0,0,0
ZBTB47,float64,248,231,0,0,0
VPREB3,float64,248,231,0,0,0
CDH7,float64,248,231,0,0,0
NOX1,float64,248,231,0,0,0
C2orf74,float64,248,230,0,0,0
TET3,float64,248,230,0,0,0
TLL1,float64,248,230,0,0,0
SSX5,float64,248,230,0,0,0
ONECUT2,float64,248,230,0,0,0
H2AB2,float64,248,230,0,0,0
ZNF823,float64,248,230,0,0,0
BMP7,float64,248,230,0,0,0
ACHE,float64,248,230,0,0,0
PAX7,float64,248,230,0,0,0
CLCN4,float64,248,230,0,0,0
E2F2,float64,248,230,0,0,0
RHOH,float64,248,230,0,0,0
MYLK3,float64,248,230,0,0,0
SEZ6,float64,248,230,0,0,0
ACSM2B,float64,248,230,0,0,0
SCUBE3,float64,248,230,0,0,0
SP8,float64,248,230,0,0,0
ZNF595,float64,248,230,0,0,0
SLC2A12,float64,248,230,0,0,0
SLC22A17,float64,248,230,0,0,0
DNAH11,float64,248,230,0,0,0
SIGLEC10,float64,248,230,0,0,0
TBX15,float64,248,230,0,0,0
EMILIN3,float64,248,230,0,0,0
TMEM45A,float64,248,230,0,0,0
PSG8,float64,248,230,0,0,0
B4DKC2,float64,248,229,0,0,0
ZNF587B,float64,248,229,0,0,0
PSG5,float64,248,229,0,0,0
ZNF213,float64,248,229,0,0,0
B4GALT2,float64,248,229,0,0,0
LARGE1,float64,248,229,0,0,0
LIPC,float64,248,229,0,0,0
NR4A1,float64,248,229,0,0,0
FPR2,float64,248,229,0,0,0
CST5,float64,248,229,0,0,0
SFTPD,float64,248,229,0,0,0
ID4,float64,248,229,0,0,0
SERPINB10,float64,248,229,0,0,0
SCNN1G,float64,248,229,0,0,0
HBB,float64,248,229,0,0,0
PSG4,float64,248,229,0,0,0
NOG,float64,248,229,0,0,0
MLC1,float64,248,229,0,0,0
PDGFRL,float64,248,229,0,0,0
NTRK3,float64,248,229,0,0,0
ECSCR,float64,248,229,0,0,0
LONRF2,float64,248,229,0,0,0
ZNF841,float64,248,229,0,0,0
CDH24,float64,248,229,0,0,0
GCNT2,float64,248,229,0,0,0
B3GNT7,float64,248,229,0,0,0
GLYATL2,float64,248,229,0,0,0
ITLN2,float64,248,229,0,0,0
NEIL1,float64,248,229,0,0,0
NOX5,float64,248,229,0,0,0
TRIB1,float64,248,229,0,0,0
DMRTA2,float64,248,229,0,0,0
SH3GL3,float64,248,229,0,0,0
CHST6,float64,248,229,0,0,0
ALX4,float64,248,229,0,0,0
ZFYVE28,float64,248,229,0,0,0
SCUBE2,float64,248,229,0,0,0
SCN3A,float64,248,229,0,0,0
KLK11,float64,248,229,0,0,0
WSB1,float64,248,229,0,0,0
KANSL1L,float64,248,228,0,0,0
H3BMH7,float64,248,228,0,0,0
H7C469,float64,248,228,0,0,0
UTY,float64,248,228,0,0,0
TNFSF15,float64,248,228,0,0,0
HLA-DOA,float64,248,228,0,0,0
CRH,float64,248,228,0,0,0
CA4,float64,248,228,0,0,0
CD27,float64,248,228,0,0,0
HOXC8,float64,248,228,0,0,0
VIPR1,float64,248,228,0,0,0
FKBP1B,float64,248,228,0,0,0
MEF2B,float64,248,228,0,0,0
IKBKE,float64,248,228,0,0,0
TMEM119,float64,248,228,0,0,0
GFI1B,float64,248,228,0,0,0
GTF2IRD2B,float64,248,228,0,0,0
LVRN,float64,248,228,0,0,0
NLRC5,float64,248,228,0,0,0
LRRC25,float64,248,228,0,0,0
CALHM5,float64,248,228,0,0,0
CREB3L1,float64,248,228,0,0,0
FAM3D,float64,248,228,0,0,0
ZBTB8A,float64,248,228,0,0,0
PHACTR3,float64,248,228,0,0,0
ZFP3,float64,248,228,0,0,0
MYNN,float64,248,228,0,0,0
TULP4,float64,248,228,0,0,0
WHRN,float64,248,228,0,0,0
PHF11,float64,248,228,0,0,0
PCDHB14,float64,248,228,0,0,0
MAP3K9,float64,248,227,0,0,0
IGHD,float64,248,227,0,0,0
MMP10,float64,248,227,0,0,0
CEL,float64,248,227,0,0,0
FCGR2B,float64,248,227,0,0,0
DLK1,float64,248,227,0,0,0
KLF1,float64,248,227,0,0,0
SPARCL1,float64,248,227,0,0,0
KISS1,float64,248,227,0,0,0
MPEG1,float64,248,227,0,0,0
DUSP28,float64,248,227,0,0,0
DCAF17,float64,248,227,0,0,0
KLHDC7A,float64,248,227,0,0,0
KIAA0319,float64,248,227,0,0,0
OLFM4,float64,248,227,0,0,0
MUC6,float64,248,227,0,0,0
ANKRD13B,float64,248,227,0,0,0
SLITRK4,float64,248,227,0,0,0
IL17RC,float64,248,227,0,0,0
BHLHE22,float64,248,227,0,0,0
HCAR2,float64,248,227,0,0,0
SH3RF3,float64,248,227,0,0,0
CNK3/IPCEF1,float64,248,227,0,0,0
ST8SIA4,float64,248,227,0,0,0
SHC3,float64,248,227,0,0,0
ARSG,float64,248,227,0,0,0
MEGF10,float64,248,227,0,0,0
KCNJ15,float64,248,227,0,0,0
LRFN3,float64,248,227,0,0,0
TRMO,float64,248,227,0,0,0
TRIM15,float64,248,227,0,0,0
MLXIPL,float64,248,227,0,0,0
OSER1,float64,248,227,0,0,0
IL36G,float64,248,227,0,0,0
PRODH2,float64,248,227,0,0,0
FBXL3,float64,248,227,0,0,0
ODF2L,float64,248,227,0,0,0
EID1,float64,248,227,0,0,0
ZNF714,float64,248,226,0,0,0
RTBDN,float64,248,226,0,0,0
TNFRSF10C,float64,248,226,0,0,0
SIGLEC5,float64,248,226,0,0,0
ZSCAN9,float64,248,226,0,0,0
GPRIN2,float64,248,226,0,0,0
ADRA2A,float64,248,226,0,0,0
PRSS56,float64,248,226,0,0,0
MYCL,float64,248,226,0,0,0
ACAN,float64,248,226,0,0,0
FUT1,float64,248,226,0,0,0
ORM2,float64,248,226,0,0,0
AGXT,float64,248,226,0,0,0
CFP,float64,248,226,0,0,0
MSX1,float64,248,226,0,0,0
CD34,float64,248,226,0,0,0
EPHA8,float64,248,226,0,0,0
PTGDS,float64,248,226,0,0,0
SESN3,float64,248,226,0,0,0
SST,float64,248,226,0,0,0
DGCR6,float64,248,226,0,0,0
PLEKHS1,float64,248,226,0,0,0
TRIM67,float64,248,226,0,0,0
CEFIP,float64,248,226,0,0,0
SV2B,float64,248,226,0,0,0
VASH1,float64,248,226,0,0,0
OTOA,float64,248,226,0,0,0
PPP1R27,float64,248,226,0,0,0
UBALD2,float64,248,226,0,0,0
KCTD17,float64,248,226,0,0,0
DPP10,float64,248,226,0,0,0
ZNF383,float64,248,226,0,0,0
LYPD6B,float64,248,226,0,0,0
KCNV2,float64,248,226,0,0,0
FGF13,float64,248,226,0,0,0
KCNB2,float64,248,226,0,0,0
RAB37,float64,248,226,0,0,0
RMND5B,float64,248,226,0,0,0
LRRIQ1,float64,248,226,0,0,0
CDHR2,float64,248,226,0,0,0
TM6SF1,float64,248,226,0,0,0
NLRP1,float64,248,226,0,0,0
FXYD6,float64,248,226,0,0,0
SMOC2,float64,248,226,0,0,0
DPEP3,float64,248,226,0,0,0
C19orf44,float64,248,226,0,0,0
AKIRIN1,float64,248,226,0,0,0
CRTAC1,float64,248,226,0,0,0
SETBP1,float64,248,226,0,0,0
ST18,float64,248,225,0,0,0
PRDM1,float64,248,225,0,0,0
CCNE2,float64,248,225,0,0,0
IGLL1,float64,248,225,0,0,0
IL1R2,float64,248,225,0,0,0
FCER1G,float64,248,225,0,0,0
FMO4,float64,248,225,0,0,0
MMP16,float64,248,225,0,0,0
ZXDB,float64,248,225,0,0,0
MMRN1,float64,248,225,0,0,0
NEUROD1,float64,248,225,0,0,0
ELAVL3,float64,248,225,0,0,0
ZNF74,float64,248,225,0,0,0
MUC17,float64,248,225,0,0,0
TTLL5,float64,248,225,0,0,0
NOTCH2NLA,float64,248,225,0,0,0
ZNF467,float64,248,225,0,0,0
VWDE,float64,248,225,0,0,0
SLC44A3,float64,248,225,0,0,0
ZMYND19,float64,248,225,0,0,0
STAC3,float64,248,225,0,0,0
ZBP1,float64,248,225,0,0,0
ERVMER34-1,float64,248,225,0,0,0
ELL3,float64,248,225,0,0,0
GIMAP2,float64,248,225,0,0,0
SLC27A6,float64,248,225,0,0,0
RFNG,float64,248,225,0,0,0
WNT7A,float64,248,224,0,0,0
HS3ST1,float64,248,224,0,0,0
ZNF749,float64,248,224,0,0,0
RNF8,float64,248,224,0,0,0
DUS4L,float64,248,224,0,0,0
MOS,float64,248,224,0,0,0
SCG5,float64,248,224,0,0,0
PIP,float64,248,224,0,0,0
ACKR3,float64,248,224,0,0,0
MPZ,float64,248,224,0,0,0
HOXC12,float64,248,224,0,0,0
KDR,float64,248,224,0,0,0
ARL4A,float64,248,224,0,0,0
