,dtype,n_values,n_nan_total,n_non_numeric_values,n_posinf,n_neginf
PAFAH1B1,float64,248,0,0,0,0
NOS2,float64,248,0,0,0,0
DNAH9,float64,248,0,0,0,0
BLTP2,float64,248,0,0,0,0
SLC13A2,float64,248,0,0,0,0
GAS7,float64,248,0,0,0,0
TRAPPC6A,float64,248,0,0,0,0
MATK,float64,248,0,0,0,0
CEACAM7,float64,248,0,0,0,0
CD79B,float64,248,0,0,0,0
SCN4A,float64,248,0,0,0,0
ST7L,float64,248,0,0,0,0
TKTL1,float64,248,0,0,0,0
PAX6,float64,248,0,0,0,0
RPUSD1,float64,248,0,0,0,0
RHBDF1,float64,248,0,0,0,0
LUC7L,float64,248,0,0,0,0
CACNA2D2,float64,248,0,0,0,0
BAIAP3,float64,248,0,0,0,0
TSR3,float64,248,0,0,0,0
PIGQ,float64,248,0,0,0,0
CRAMP1,float64,248,0,0,0,0
TEAD3,float64,248,0,0,0,0
SELE,float64,248,0,0,0,0
DNAJC11,float64,248,0,0,0,0
FMO3,float64,248,0,0,0,0
MYLIP,float64,248,0,0,0,0
NOX1,float64,248,0,0,0,0
E2F2,float64,248,0,0,0,0
PSMB1,float64,248,0,0,0,0
SYN1,float64,248,0,0,0,0
JARID2,float64,248,0,0,0,0
CDKL5,float64,248,0,0,0,0
CAMK1G,float64,248,0,0,0,0
CDK11A,float64,248,0,0,0,0
NADK,float64,248,0,0,0,0
TFAP2B,float64,248,0,0,0,0
TFAP2D,float64,248,0,0,0,0
DLEC1,float64,248,0,0,0,0
CYTH3,float64,248,0,0,0,0
ADAM22,float64,248,0,0,0,0
SYPL1,float64,248,0,0,0,0
CYB561,float64,248,0,0,0,0
SPAG9,float64,248,0,0,0,0
CELSR3,float64,248,0,0,0,0
AASS,float64,248,0,0,0,0
PLEKHG6,float64,248,0,0,0,0
SS18L2,float64,248,0,0,0,0
MPND,float64,248,0,0,0,0
MGST1,float64,248,0,0,0,0
CRY1,float64,248,0,0,0,0
PGLYRP1,float64,248,0,0,0,0
NFIX,float64,248,0,0,0,0
ST3GAL1,float64,248,0,0,0,0
MMP25,float64,248,0,0,0,0
IL32,float64,248,0,0,0,0
PKD1,float64,248,0,0,0,0
MAPK8IP2,float64,248,0,0,0,0
MED24,float64,248,0,0,0,0
RHOBTB2,float64,248,0,0,0,0
HEATR5B,float64,248,0,0,0,0
SEC62,float64,248,0,0,0,0
RPS20,float64,248,0,0,0,0
CSDE1,float64,248,0,0,0,0
UBE3C,float64,248,0,0,0,0
REV3L,float64,248,0,0,0,0
TENM1,float64,248,0,0,0,0
PAX7,float64,248,0,0,0,0
MASP2,float64,248,0,0,0,0
IYD,float64,248,0,0,0,0
FAM76A,float64,248,0,0,0,0
TRAF3IP3,float64,248,0,0,0,0
POMT2,float64,248,0,0,0,0
VTA1,float64,248,0,0,0,0
MLXIPL,float64,248,0,0,0,0
BAZ1B,float64,248,0,0,0,0
RANBP9,float64,248,0,0,0,0
ETV7,float64,248,0,0,0,0
SPRTN,float64,248,0,0,0,0
METTL13,float64,248,0,0,0,0
DYRK4,float64,248,0,0,0,0
ZNF207,float64,248,0,0,0,0
UQCRC1,float64,248,0,0,0,0
STARD3NL,float64,248,0,0,0,0
CD9,float64,248,0,0,0,0
HHATL,float64,248,0,0,0,0
NCAPD2,float64,248,0,0,0,0
IFFO1,float64,248,0,0,0,0
GIPR,float64,248,0,0,0,0
PHF7,float64,248,0,0,0,0
SEMA3G,float64,248,0,0,0,0
NISCH,float64,248,0,0,0,0
STAB1,float64,248,0,0,0,0
FUZ,float64,248,0,0,0,0
SLC6A13,float64,248,0,0,0,0
IDS,float64,248,0,0,0,0
PRSS3,float64,248,0,0,0,0
ZNF200,float64,248,0,0,0,0
CD4,float64,248,0,0,0,0
LRRC23,float64,248,0,0,0,0
BTK,float64,248,0,0,0,0
HFE,float64,248,0,0,0,0
SCMH1,float64,248,0,0,0,0
FYN,float64,248,0,0,0,0
HIVEP2,float64,248,0,0,0,0
FMO1,float64,248,0,0,0,0
ELOA,float64,248,0,0,0,0
LYPLA2,float64,248,0,0,0,0
CLCN6,float64,248,0,0,0,0
MRC2,float64,248,0,0,0,0
SLC6A7,float64,248,0,0,0,0
TSPAN9,float64,248,0,0,0,0
BTBD7,float64,248,0,0,0,0
APBA3,float64,248,0,0,0,0
MKS1,float64,248,0,0,0,0
ABHD5,float64,248,0,0,0,0
ANOS1,float64,248,0,0,0,0
AKAP8L,float64,248,0,0,0,0
MBTD1,float64,248,0,0,0,0
UTP18,float64,248,0,0,0,0
RNF216,float64,248,0,0,0,0
TTC19,float64,248,0,0,0,0
PTBP1,float64,248,0,0,0,0
DPF1,float64,248,0,0,0,0
SYT7,float64,248,0,0,0,0
LARS2,float64,248,0,0,0,0
PIK3C2A,float64,248,0,0,0,0
PLAUR,float64,248,0,0,0,0
ANLN,float64,248,0,0,0,0
WIZ,float64,248,0,0,0,0
RABGAP1,float64,248,0,0,0,0
DCN,float64,248,0,0,0,0
QPCTL,float64,248,0,0,0,0
PPP5C,float64,248,0,0,0,0
CEP68,float64,248,0,0,0,0
MAP4K3,float64,248,0,0,0,0
ZBTB32,float64,248,0,0,0,0
TYROBP,float64,248,0,0,0,0
LDAF1,float64,248,0,0,0,0
GABRA3,float64,248,0,0,0,0
BRCA1,float64,248,0,0,0,0
ERCC1,float64,248,0,0,0,0
CD22,float64,248,0,0,0,0
SEMA3B,float64,248,0,0,0,0
MBTPS2,float64,248,0,0,0,0
PRICKLE3,float64,248,0,0,0,0
LTF,float64,248,0,0,0,0
EXTL3,float64,248,0,0,0,0
NR1H4,float64,248,0,0,0,0
ELOVL5,float64,248,0,0,0,0
ALOX5,float64,248,0,0,0,0
KDM5D,float64,248,0,0,0,0
CALCOCO1,float64,248,0,0,0,0
UBR7,float64,248,0,0,0,0
MAP4K5,float64,248,0,0,0,0
EHD3,float64,248,0,0,0,0
PSMC4,float64,248,0,0,0,0
MAN2B2,float64,248,0,0,0,0
SLC7A14,float64,248,0,0,0,0
CLDN11,float64,248,0,0,0,0
SLC25A39,float64,248,0,0,0,0
MVP,float64,248,0,0,0,0
NUB1,float64,248,0,0,0,0
PGM3,float64,248,0,0,0,0
RWDD2A,float64,248,0,0,0,0
CLK1,float64,248,0,0,0,0
POLR3B,float64,248,0,0,0,0
ANGEL1,float64,248,0,0,0,0
RNF14,float64,248,0,0,0,0
DNASE1L1,float64,248,0,0,0,0
DDX11,float64,248,0,0,0,0
HEBP1,float64,248,0,0,0,0
GPRC5A,float64,248,0,0,0,0
MAMLD1,float64,248,0,0,0,0
CD6,float64,248,0,0,0,0
TACC3,float64,248,0,0,0,0
UFL1,float64,248,0,0,0,0
POLA2,float64,248,0,0,0,0
ZC3H3,float64,248,0,0,0,0
CAPN1,float64,248,0,0,0,0
ACP3,float64,248,0,0,0,0
MDH1,float64,248,0,0,0,0
SLC30A9,float64,248,0,0,0,0
MTMR11,float64,248,0,0,0,0
COX15,float64,248,0,0,0,0
CCDC88C,float64,248,0,0,0,0
YAF2,float64,248,0,0,0,0
ZMYND11,float64,248,0,0,0,0
WAS,float64,248,0,0,0,0
DPEP1,float64,248,0,0,0,0
BID,float64,248,0,0,0,0
MATR3,float64,248,0,0,0,0
NPC1L1,float64,248,0,0,0,0
XYLT2,float64,248,0,0,0,0
RGPD5,float64,248,0,0,0,0
STMN4,float64,248,0,0,0,0
NUDCD3,float64,248,0,0,0,0
ISL1,float64,248,0,0,0,0
CHDH,float64,248,0,0,0,0
IL20RA,float64,248,0,0,0,0
CLCA1,float64,248,0,0,0,0
CLCA4,float64,248,0,0,0,0
GLT8D1,float64,248,0,0,0,0
ATP2C1,float64,248,0,0,0,0
IGF1,float64,248,0,0,0,0
SLC38A5,float64,248,0,0,0,0
RALBP1,float64,248,0,0,0,0
RUFY3,float64,248,0,0,0,0
CNTN1,float64,248,0,0,0,0
SLC11A1,float64,248,0,0,0,0
WWTR1,float64,248,0,0,0,0
AGPS,float64,248,0,0,0,0
STEEP1,float64,248,0,0,0,0
ATP1A2,float64,248,0,0,0,0
TTC27,float64,248,0,0,0,0
ZNF582,float64,248,0,0,0,0
VSIG2,float64,248,0,0,0,0
PHLDB1,float64,248,0,0,0,0
MARCO,float64,248,0,0,0,0
CYP24A1,float64,248,0,0,0,0
PRDM11,float64,248,0,0,0,0
SYT13,float64,248,0,0,0,0
SNAI2,float64,248,0,0,0,0
CD74,float64,248,0,0,0,0
HGF,float64,248,0,0,0,0
ZRANB1,float64,248,0,0,0,0
NCDN,float64,248,0,0,0,0
ADGRA2,float64,248,0,0,0,0
ZFP64,float64,248,0,0,0,0
MNAT1,float64,248,0,0,0,0
SAMD4A,float64,248,0,0,0,0
RUNX3,float64,248,0,0,0,0
MRE11,float64,248,0,0,0,0
PLEKHB1,float64,248,0,0,0,0
SERPINB1,float64,248,0,0,0,0
CYP3A43,float64,248,0,0,0,0
SLC7A9,float64,248,0,0,0,0
SPAST,float64,248,0,0,0,0
